title,category,description,location_x,location_y,date,address,instagram,logo,flyer_link
TC Regional,RACE,Consultar detalles del evento en Instagram.,-35.43423162,-60.90831145,2024-12-07,Autódromo 9 de Julio,https://www.instagram.com/tcregionalok/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tcregionalok.jpg,NONE
TCR South America,RACE,Consultar detalles del evento en Instagram.,-27.51146567,-64.92034052,2024-12-02,Circuito Internacional Termas de Río Hondo,https://www.instagram.com/tcr_southamerica,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/tcr_southamerica.jpg,NONE
Turismo Carretera,RACE,El campeonato más icónico de Argentina y la categoría más antigua de competición del mundo.,-34.9808642,-58.18128397,2024-12-02,Autódromo Roberto José Mouras,https://www.instagram.com/actcargentina/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/actcargentina.jpg,NONE
Campeonato Argentino Pista,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-12-02,Autódromo Oscar y Juan Gálvez,https://www.instagram.com/campeonatoargentinopista/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/campeonatoargentinopista.jpg,NONE
Nuevo Car Show,RACE,Consultar detalles del evento en Instagram.,-33.395274,-60.20191525,2024-12-02,Autódromo De San Nicolás,https://www.instagram.com/nuevo.car_show/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/nuevo.car_show.jpg,NONE
Gran Turismo Promocional,RACE,Consultar detalles del evento en Instagram.,-38.68286008,-62.1761903,2024-12-02,Autódromo Ezequiel Crisol,https://www.instagram.com/granturismopromocional/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/granturismopromocional.jpg,NONE
AFR Car Show Necochea,MEET,Consultar detalles del evento en Instagram.,-38.56370143,-58.71566939,2024-12-01,"Camping y Cabañas ""Rio Quequén""",https://www.instagram.com/afr_necochea,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/afr_necochea.jpg,NONE
Campeonato Argentino Pista,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-12-01,Autódromo Oscar y Juan Gálvez,https://www.instagram.com/campeonatoargentinopista/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/campeonatoargentinopista.jpg,NONE
Gran Turismo Promocional,RACE,Consultar detalles del evento en Instagram.,-38.68286008,-62.1761903,2024-12-01,Autódromo Ezequiel Crisol,https://www.instagram.com/granturismopromocional/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/granturismopromocional.jpg,NONE
Rally de Mina Clavero,RACE,Consultar detalles del evento en Instagram.,-31.7209772,-65.00413411,2024-11-30,Mina Clavero,https://www.instagram.com/rallyargentino/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/rallyargentino.jpg,NONE
1000 Millas Sport,RACE,Consultar detalles del evento en Instagram.,-41.05774662,-71.53132451,2024-11-28,Hotel Llao Llao,https://www.instagram.com/1000millassport/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/1000millassport.jpg,NONE
Fórmula 4 Nueva Generación,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-11-25,Autódromo Roberto José Mouras,https://www.instagram.com/formula4ng/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/formula4ng.jpg,NONE
TC2000,RACE,Consultar detalles del evento en Instagram.,-31.57830129,-64.36767439,2024-11-25,Autódromo Oscar Cabalén,https://www.instagram.com/supertc2000/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/supertc2000.jpg,NONE
ProCar 4000,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-11-25,Autódromo Oscar y Juan Gálvez,https://www.instagram.com/procar4000/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/procar4000.jpg,NONE
Mayores Del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-11-25,Autodromo San Cayetano,https://www.instagram.com/mayoresdelsudeste,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/mayoresdelsudeste.jpg,NONE
Turismo Pista,RACE,Una competencia donde reina la paridad mecánica entre autos de calle y las habilidad del piloto se vuelve protagonista.,-31.90899952,-61.86398212,2024-11-24,Autódromo Parque de la Velocidad,https://www.instagram.com/turismopista,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopista.jpg,NONE
Mayores Del Sudeste,RACE,Consultar detalles del evento en Instagram.,-38.35484867,-59.59093703,2024-11-24,Autodromo San Cayetano,https://www.instagram.com/mayoresdelsudeste,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/mayoresdelsudeste.jpg,NONE
Turismo Pista,RACE,Una competencia donde reina la paridad mecánica entre autos de calle y las habilidad del piloto se vuelve protagonista.,-31.90899952,-61.86398212,2024-11-23,Autódromo Parque de la Velocidad,https://www.instagram.com/turismopista,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopista.jpg,NONE
Turismo Pista,RACE,Una competencia donde reina la paridad mecánica entre autos de calle y las habilidad del piloto se vuelve protagonista.,-31.90899952,-61.86398212,2024-11-22,Autódromo Parque de la Velocidad,https://www.instagram.com/turismopista,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopista.jpg,NONE
Top Race,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-11-18,Autódromo Óscar y Juan Gálvez,https://www.instagram.com/topraceok,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/topraceok.jpg,NONE
